node_id,community
11439,7
48152,7
22220,8
43228,8
18212,5
38145,5
121622,9
71226,9
14421,10
65220,10
90975,11
22407,11
10578,12
52677,12
96563,0
82644,0
107975,1
13885,1
91572,13
41504,13
40821,14
92857,14
60544,15
112518,15
54959,16
70056,16
9274,6
13180,6
20872,17
112327,17
127692,18
112109,18
66690,19
113748,19
123016,20
41595,20
90072,2
114512,2
128472,21
124440,21
52187,22
129915,22
109813,23
98844,23
6700,24
102313,24
54609,25
49079,25
47423,26
58090,26
54845,27
69413,27
109880,28
73703,28
127541,29
43917,29
7161,30
122156,30
47134,31
21509,31
56330,32
120076,32
98736,33
52740,33
98270,34
127364,34
92669,35
86236,35
42613,36
92226,36
117694,37
72289,37
106749,38
43816,38
71795,39
82923,39
86189,40
36205,40
90909,41
49355,41
119241,42
72217,42
12823,43
97893,43
80615,44
78455,44
98632,45
124737,45
25686,46
16745,46
92554,47
67089,47
119496,48
102268,48
111023,49
128502,49
96753,50
16116,50
1359,51
125656,51
17746,3
120865,3
75527,52
101071,52
120127,53
38387,53
68576,54
29385,54
93801,55
62716,55
41155,56
15670,56
104196,57
78679,57
78575,58
112863,58
83267,59
4407,59
34837,60
87797,60
37008,61
85241,61
65657,62
58366,62
117108,63
27123,63
50937,64
12940,64
110732,2
119695,65
105772,65
33305,66
106313,66
35017,67
47494,67
5096,4
50413,4
35437,68
43501,68
59780,69
108390,69
97797,70
120183,70
103765,71
81699,71
38950,72
46341,72
69827,73
64319,73
1770,74
127905,74
46975,75
123515,75
8346,76
124022,76
24131,77
71080,77
44588,78
61264,78
80228,3
54685,79
3553,79
100226,80
33808,80
97379,81
65981,81
17351,82
15267,82
26385,83
129809,83
23280,84
67225,84
83804,85
25364,85
36198,86
73473,86
58740,87
24706,87
42066,88
69740,88
55870,89
17234,89
105213,90
6136,90
92805,91
63740,91
56037,92
123110,92
128531,93
74214,93
6489,94
38332,94
42174,95
45658,95
45167,96
120709,96
101027,1
107074,97
279,97
59748,98
67302,98
40945,99
3928,99
12524,100
43289,100
36461,101
76999,101
55673,102
42875,102
81410,103
95910,103
68636,104
8048,104
126263,105
116821,105
99477,106
42589,106
97264,107
28262,107
86530,108
125836,108
17093,109
48305,109
21935,110
116383,110
9851,111
101428,111
93207,112
83191,112
8894,113
22880,113
102297,114
42699,114
57509,115
81497,115
46861,5
52924,116
50166,116
126809,117
126344,117
74578,118
95638,118
101988,119
73952,119
81213,120
129246,120
42865,121
56516,121
97543,6
83346,122
115981,122
98276,123
71407,123
12979,124
41234,124
24698,125
120428,125
12254,126
68089,126
103370,127
89152,127
128857,128
30355,128
62847,129
88001,129
119326,130
65510,130
25659,131
96292,131
79039,132
54340,132
99525,133
8889,133
106734,134
113254,134
83294,135
53366,135
125945,136
105905,136
13965,137
48232,137
123244,138
73211,138
106324,139
15723,139
102987,140
33865,140
109538,141
122108,141
92247,142
44689,142
122817,143
100942,143
597,144
103896,144
115206,145
9713,145
95888,146
60819,146
83239,147
59063,147
97583,148
96321,148
34405,149
125749,149
96764,150
117394,150
60854,151
60956,151
75936,152
39617,152
23812,153
50192,153
107820,154
65645,154
10568,155
121197,155
19148,156
64942,156
77176,157
108268,157
21705,4
34422,158
15932,158
20538,0
122279,159
38614,159
130010,160
32832,160
24184,161
44279,161
124445,162
12952,162
108103,163
106952,163
95625,164
2772,164
68867,165
62350,165
123405,166
66851,166
58550,167
75617,167
